Names,Ratings,Reviews,Basic Info,Services,Basic Info2,Description
HCLTech,3.8,19kReviews),"Public, Noida + 143 more, 31 years old, 1 Lakh+ Employees (India)","Financial Services, Consumer Electronics & Appliances, IT Services & Consulting, Software Product, Conglomerate, Forbes Global 2000, Fortune India 500, Public","About, Reviews 19k, Salaries 246.2k, Interviews 1.7k, Jobs 745","HCLTech is a global technology company, home to 219,000+ people across 54 countries, delivering industry-leading capabilities centered around digital, engineering and cloud powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.Our purpose is to bring together the best of technology and our people to supercharge progress. We’re supercharging progress for everyone, everywhere – our clients, partners and their stakeholders, our people, communities, and the planet.Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December, 1999. Since our inception, we pioneered several industry mainstays and established leadership position in all our chosen segments.As a company we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long-term. We have committed to achieving net-zero by 2040.We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.We’re powered by our people – a global, diverse, multi-generational talent - representing 167 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.  Consolidated revenues as of 12 months ending September 30, 2022 totaled $12.1 billion. To learn how we can supercharge progress for you, visit hcltech.com."
Amazon,4.3,18.9kReviews),"Public, Seattle,Washington + 394 more, 28 years old, 1 Lakh+ Employees (India)","Internet, Retail, Logistics, Emerging Technologies, Software Product, Media & Entertainment, Forbes Global 2000, Public","About, Reviews 18.9k, Salaries 122.8k, Interviews 2.6k, Jobs 651","Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company and the spirit and heart of a small one. Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world. Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer's top of mind. You'll also hear us say that at Amazon, it's always ""Day 1.""​ What do we mean? That our approach remains the same as it was on Amazon's very first day - to make smart, fast decisions, stay nimble, invent, and focus on delighting our customers."
Axis Bank,3.9,19.5kReviews),"Public, Mumbai,Maharashtra + 1092 more, 29 years old, 1 Lakh+ Employees (India)","Financial Services, Banking, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 19.5k, Salaries 120.9k, Interviews 777, Jobs 293","Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retail Businesses.The Bank has a large footprint of 4,050 domestic branches (including extension counters) with 11,801 ATMs & 4,917 cash recyclers spread across the country as on 31st March, 2019. The overseas operations of the Bank are spread over nine international offices with branches at Singapore, Hong Kong, Dubai (at the DIFC), Colombo and Shanghai; representative offices at Dhaka, Dubai, Abu Dhabi and an overseas subsidiary at London, UK. The international offices focus on corporate lending, trade finance, syndication, investment banking and liability businesses."
IBM,4.2,15.9kReviews),"Public, Armonk,New York + 123 more, 111 years old, 1 Lakh+ Employees (India)","BPO/KPO, Consulting, Financial Services, Emerging Technologies, IT Services & Consulting, Software Product, Forbes Global 2000, Public","About, Reviews 15.9k, Salaries 188.7k, Interviews 1.1k, Jobs 2.8k","IBMers believe in progress—that the application of intelligence, reason and science can improve business, society and the human conditionIBM has developed a thoughtful, comprehensive approach to corporate citizenship that we believe aligns with IBM’s values and maximised the impact we can make as a global enterprise. We focus on specific societal issues, including the environment, community economic development, education and skills, public health, literacy, language and culture.The mission of India CSR is to foster life-long learning opportunities across India through streamlined initiatives that cut pathways across education [access], skills/employability [inclusion], and employment [equity and quality].IBM’s greatest asset is the IBMer. We believe our strength lies in the diversity of our employees. IBM encourages creative pursuits and passions outside of work, because when IBMers can explore their curiosity, it gives all of us a new outlook on the world and its possibilities for emerging tech. Together, IBM can drive progress through meaningful innovation and action.The new generation of hybrid cloud enables you to build once, deploy anywhere and manage it all from a single pane of glass. So your business can adapt and transform like never before."
Concentrix Corpo...,4.0,15.4kReviews),"Public, Fremont,California + 71 more, 39 years old, 10k-50k Employees (India)","BPO/KPO, Recruitment, BPO, Public","About, Reviews 15.4k, Salaries 82.2k, Interviews 667, Jobs 25","Concentrix is a technology-enabled global business services company specializing in customer engagement and improving business performance. We partner with ambitious, progressive executives around the world to future-proof their business and stay ahead of the competition and customer expectations.It’s all about tapping into sentiment and building an emotional connection that keeps customers and staff fanatical about your brand. That’s where we come in—we create exceptional customer engagement, accelerate digital transformation, and deliver actionable CX insights."
Reliance jio,4.0,15.4kReviews),"Public, Navi Mumbai,Maharashtra + 981 more, 15 years old, 50k-1 Lakh Employees (India)","Telecom, Public, Navi Mumbai,Maharashtra","About, Reviews 15.4k, Salaries 79.7k, Interviews 762, Jobs 929",Jio is a young and dynamic organization with a mission to digitally transform India. We believe in making dreams a reality by bringing out the creativity and innovation in our employees. We have a host of initiatives through which we care for our employees throughout their life at Jio. Given ahead are our philosophies behind building a working environment that supports our employees in achieving the impossible every day.
Larsen & Toubro ...,4.1,25.3kReviews),"Public, Mumbai,Maharashtra + 527 more, 84 years old, 10k-50k Employees (India)","Industrial Machinery, Engineering & Construction, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 25.3k, Salaries 80.4k, Interviews 722, Jobs 130","Larsen & Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide. A strong, customer-focused approach and the constant quest for top-class quality have enabled L&T to attain and sustain leadership in its major lines of business for over eight decades.We are engaged in core, high impact sectors of the economy and our integrated capabilities span the entire spectrum of ‘design to delivery’.Every aspect of L&T's businesses is characterised by professionalism and high standards of corporate governance. Sustainability is embedded into our long-term strategy for growth.The Company’s manufacturing footprint extends across eight countries in addition to India. L&T has several international offices and a supply chain that extends around the globe."
Vodafone Idea,4.2,14.1kReviews),"Public, Gandhinagar,Gujrat + 570 more, 4 years old, 10k-50k Employees (India)","Telecom, Forbes Global 2000, Fortune India 500, Public","About, Reviews 14.1k, Salaries 68.1k, Interviews 302, Jobs 382","Vodafone Idea Limited is an Aditya Birla Group and Vodafone Group partnership. It is India’s leading telecom service provider. The Company provides pan India Voice and Data services across 2G, 3G and 4G platform. With the large spectrum portfolio to support the growing demand for data and voice, the company is committed to deliver delightful customer experiences and contribute towards creating a truly ‘Digital India’ by enabling millions of citizens to connect and build a better tomorrow. The Company is developing infrastructure to introduce newer and smarter technologies, making both retail and enterprise customers future ready with innovative offerings, conveniently accessible through an ecosystem of digital channels as well as extensive on-ground presence. The Company is listed on National Stock Exchange (NSE) and Bombay Stock Exchange (BSE) in India."
HDB Financial Se...,4.0,13.7kReviews),"Private, Ahmedabad,Gujrat + 790 more, 15 years old, 1 Lakh+ Employees (India)","Financial Services, NBFC, Ahmedabad,Gujrat","About, Reviews 13.7k, Salaries 63.4k, Interviews 408, Jobs 157","HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Individual & Business Clients.Incorporated in 2007, we are a well-established business with strong capitalization. HDBFS is accredited with CARE AAA & CRISIL AAA ratings for its long-term debt & Bank facilities and an A1+ rating for its short-term debt & commercial papers, making it a strong and reliable financial institution.HDBFS maintains a strong commitment to ethical conduct. Transparency is ingrained in the structure of our Code of Ethics and our compliance policies to ensure that the highest standards of professional conduct are consistently reinforced and embedded in every corner of the organisation."
Teleperformance,3.6,14.8kReviews),"Private, Paris + 125 more, 44 years old, 50k-1 Lakh Employees (India)","BPO, IT Services & Consulting, Forbes Global 2000","About, Reviews 14.8k, Salaries 65k, Interviews 724, Jobs 338","Teleperformance is the agile business services partner that companies need in this digital world.For over 40 years, Teleperformance has been connecting customers with the world’s most successful companies. It is the global leader in customer experience outsourcing management and the trusted provider of digitally integrated business services.At Teleperformance, we combine human touch and high technology to deliver extraordinary customer experiences. While technology creates new and agile ways of working, our interaction experts remain committed to creating unique connections through empathy, adaptive communication skills, and more importantly, a passion to make it happen."
Kotak Mahindra B...,3.9,14.1kReviews),"Public, Mumbai,Maharashtra + 478 more, 19 years old, 50k-1 Lakh Employees (India)","Financial Services, Banking, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 14.1k, Salaries 75.7k, Interviews 485, Jobs 184","In February 2003, Kotak Mahindra Finance Ltd. (KMFL), the Group's flagship company, received banking license from the Reserve Bank of India (RBI), becoming the first non-banking finance company in India to convert into a bank - Kotak Mahindra Bank Ltd.Effective April 1, 2015, ING Vysya Bank Ltd. merged with Kotak Mahindra Bank Ltd. The Bank has four Strategic Business Units – Consumer Banking, Corporate Banking, Commercial Banking and Treasury, which cater to retail and corporate customers across urban and rural India.The Group offers a wide range of financial services that encompass every sphere of life. From commercial banking, to stock broking, mutual funds, life insurance and investment banking, the Group caters to the diverse financial needs of individuals and the corporate sector. The Group has a wide distribution network through branches and franchisees across India, and international offices in London, New York, California, Dubai, Abu Dhabi, Bahrain, Mauritius and Singapore."
Reliance Industr...,4.1,45.2kReviews),"Public, Navi Mumbai,Maharashtra + 493 more, 49 years old, 1 Lakh+ Employees (India)","Manufacturing, Oil / Gas / Petro Chemicals, Power, Fashion & Textile, Oil & Gas, Petrochemicals, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Navi Mumbai,Maharashtra","About, Reviews 45.2k, Salaries 61.1k, Interviews 637, Jobs 26","RIL is India’s largest private sector company, with a consolidated turnover of Rs.659,205 crore ($87.1 billion), cash profit of Rs.71,446 crores ($9.4 billion), and net profit of Rs39,880 crore ($5.3 billion) for the year ended March 31, 2020.RIL’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and digital services. RIL is the top-most ranked company from India to feature in Fortune’s Global 500 list of ‘World’s Largest Companies’ – currently ranking 96th. The company stands 58th in the ‘Forbes Global 2000’ rankings for 2020 – top-most among Indian companies. RIL has also featured in Forbes' list of ""World's Best Employers 2020” and has ranked 81st. It ranks 10th among LinkedIn’s ‘The Best Companies to Work for In India’ (2019).  RIL is also a GPTWTM Certified organisation and features as a part of the GPTW “Best Workplaces in Manufacturing 2021” list."
Reliance Retail,4.1,16.3kReviews),"Private, Navi Mumbai,Maharashtra + 669 more, 16 years old, 1 Lakh+ Employees (India)","Jewellery, Retail, Fashion & Textile, Navi Mumbai,Maharashtra","About, Reviews 16.3k, Salaries 50.9k, Interviews 706, Jobs 444","Reliance Retail is the retail initiative of Reliance Industries Limited and is central to the group’s consumer facing businesses. Reliance Retail has been at the forefront of bringing about Organized Retail revolution in India.Reliance Retail’s operating model unleashes the aspirational energy of the new, resurgent India. Reliance Retail’s guiding philosophy rests on the tenets of enabling inclusion, growth and building sustainable societal value for millions of Indians.In a short period, it has forged strong and enduring bonds with millions of consumers by providing them unlimited choice, outstanding value proposition, superior quality and unmatched shopping experience across all its stores.Reliance Retail’s growth over the years has triggered a large socio-economic transformation on an extraordinary scale in India.Reliance Retail has been ranked as the fastest growing retailer in the world. It is ranked 53rd in the list of Top Global Retailers and is the only Indian Retailer to feature in the Top 100. It is the largest and the most profitable retailer in India with the widest reach.Reliance Retail has more than 150 million loyal customers buying across all its formats. It recorded more than 640 million footfalls across all its stores in FY20, a scale unmatched by any other retailer in India. With over 100,000 transactions per hour, Reliance Retail operates at a scale unparalleled in the Indian retail industry and continues to enrich the quality of lives of millions of Indians every day. Reliance Retail has adopted a multi-prong strategy and operates a wide array of store formats which cater to planned shopping needs as well as daily or occasional needs of the customers across major consumption baskets of Grocery, Consumer Electronics and Fashion & Lifestyle.In Grocery consumption basket, Reliance Retail operates Reliance Fresh, Shree Kannan Departmental stores, SMART and Smart Point store formats focused on food, fresh produce, bakery, dairy products, home and personal care products, as well as general merchandise items.In Consumer Electronics consumption basket, Reliance Retail operates Reliance Digital and MyJio Store formats offering a wide range of consumer electronics, home appliances, computing and mobility products, latest gadgets and accessories. These stores are backed by ResQ, a full-fledged service organisation and India’s only ISO 9001 certified electronics service brand.In Fashion and Lifestyle consumption basket, Reliance Retail operates a portfolio of formats that serves customers across value, mid, premium and luxury segments. Reliance Retail operates Trends, Trends Woman, Trends Man, Trends Footwear, Project Eve, Reliance Jewels, Hamleys formats and a portfolio of more than 40 marquee international brands such as Armani, Burberry, Diesel, GAS, Marks & Spencer, Superdry, Brooks Brothers, Steve Madden and more. Reliance Retail has a strong presence in digital commerce channels through AJIO.com, a curated fashion & lifestyle store bringing best of national and international brands to customers doorsteps and Jiomart, India's largest hyperlocal retail solution that leverages the wide network of Reliance Retail's grocery stores and well-established supply chain infrastructure.Reliance Retail reported a turnover of Rs. 1,57,629 crore (US$ 21.6 billion) for the financial year 2020-21. As on 31st Mar 2021, Reliance Retail operated 12,711 stores across 7,000+ cities with a retail area of over 33.8 million sft.Reliance Retail Ventures Limited, a subsidiary of Reliance Industries Limited is the holding company of Reliance Retail Limited which operates the retail business."
Bharti Airtel,4.1,13.1kReviews),"Public, Gurgaon/Gurugram,Haryana + 517 more, 27 years old, 10k-50k Employees (India)","Telecom, Forbes Global 2000, Fortune India 500, Public, Gurgaon/Gurugram,Haryana","About, Reviews 13.1k, Salaries 47.4k, Interviews 372, Jobs 243","Bharti Airtel Limited is a leading global telecommunications company with operations in 18 countries across Asia and Africa. Headquartered in New Delhi, India, the company ranks amongst the top 3 mobile service providers globally in terms of subscribers. In India, the company's product offerings include 2G, 3G and 4G wireless services, mobile commerce, fixed line services, high speed home broadband, DTH, enterprise services including national & international long distance services to carriers. In the rest of the geographies, it offers 2G, 3G, 4G wireless services and mobile commerce. Bharti Airtel had over 403 million customers across its operations at the end of March 2019."
Deloitte,4.1,10.5kReviews),"Private, New York,New York + 135 more, 177 years old, 50k-1 Lakh Employees (India)","Consulting, Accounting & Auditing","About, Reviews 10.5k, Salaries 119k, Interviews 1.1k, Jobs 334","Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients."
Tata Motors,4.1,12.7kReviews),"Public, Pune,Maharashtra + 396 more, 77 years old, 10k-50k Employees (India)","Automobile, Manufacturing, Forbes Global 2000, Fortune India 500, Public, Pune,Maharashtra","About, Reviews 12.7k, Salaries 41k, Interviews 494, Jobs 16","Tata Motors Group (Tata Motors) is a $34 billion organization. It is a leading global automobile manufacturing company. Its diverse portfolio includes an extensive range of cars, sports utility vehicles, trucks, buses, and defence vehicles. Tata Motors is one of India's largest OEMs offering an extensive range of integrated, smart, and e-mobility solutions. Part of the USD110 billion Tata group founded by Jamsetji Tata in 1868, Tata Motors is among the world’s leading manufacturers of automobiles. We believe in ‘Connecting aspirations’, by offering innovative mobility solutions that are in line with customers' aspirations. We are India's largest automobile manufacturer, and we continue to take the lead in shaping the Indian commercial vehicle landscape, with the introduction of leading-edge powertrains and electric solutions packaged for power performances and user comfort at the lowest life-cycle costs. Our new passenger cars and utility vehicles are based on Impact Design and offer a superior blend of performance, driveability, and connectivity.Our focus on connecting aspirations and our pipeline of tech-enabled products keeps us at the forefront of the market. We have identified six key mobility drivers that will lead us into the future – modular architecture, complexity reduction in manufacturing, connected & autonomous vehicles, clean drivelines, shared mobility, and low total cost of ownership. Our sub-brand TAMO is an incubating centre of innovation that will spark new mobility solutions through new technologies, business models, and partnerships."
BYJU'S,3.5,12.6kReviews),"Private, Bangalore,Karnataka + 244 more, 11 years old, 1k-5k Employees (India)","Internet, Education & Training, EdTech, Indian Unicorn","About, Reviews 12.6k, Salaries 46.9k, Interviews 1.3k, Jobs 897","BYJU'S is the world's most valuable ed-tech company and the creator of India's most loved school learning app. Launched in 2015, BYJU'S offers highly personalised and effective learning programs for classes 1 - 12 (K-12), and aspirants of competitive exams like JEE, IAS etc. With 50 million registered students and 3.5 million paid subscriptions, BYJU'S has become one of the most preferred education platforms across the globe."
WNS,3.7,7.2kReviews),"Private, Mumbai,Maharashtra + 25 more, 26 years old, 10k-50k Employees (India)","BPO/KPO, Consulting, Analytics & KPO, Mumbai,Maharashtra","About, Reviews 7.2k, Salaries 44.1k, Interviews 501, Jobs 204","WNS Limited is a leading Business Process Management (BPM) company. WNS combines deep industry knowledge with technology, analytics, and process expertise to co-create innovative, digitally-led transformational solutions with over 375 clients across various industries. WNS delivers an entire spectrum of BPM solutions including industry-specific offerings, customer experience services, finance and accounting, human resources, procurement, and research and analytics to re-imagine the digital future of businesses. As of December 31, 2021, WNS had 49,610 professionals across 55 delivery centers worldwide including facilities in China, Costa Rica, India, the Philippines, Poland, Romania, South Africa, Spain, Sri Lanka, Turkey, the United Kingdom, and the United States."
Flipkart,4.2,11.8kReviews),"Public, Bangalore,Karnataka + 446 more, 15 years old, 50k-1 Lakh Employees (India)","Internet, Retail, Graduated Unicorn, Public","About, Reviews 11.8k, Salaries 42.7k, Interviews 752, Jobs 456","The Flipkart Group is one of India’s leading digital commerce entities and includes group companies Flipkart, Myntra, and Jabong. Launched in 2007, Flipkart has enabled millions of consumers, sellers, merchants and small businesses to be a part of India’s e-commerce revolution. With a registered customer base of over 100 million, offering over 80 million products across 80+ categories, Flipkart is known for pioneering services such as Cash on Delivery, No Cost EMI and easy returns – customer-centric innovations that have made online shopping more accessible and affordable for millions of Indians. Together with Myntra and Jabong, which hold prominent positions in the online fashion market, the Flipkart Group has steered the transformation of commerce in India through technology."
Mahindra & Mahin...,3.9,40.5kReviews),"Public, Mumbai,Maharashtra + 411 more, 77 years old, 1 Lakh+ Employees (India)","Automobile, Industrial Machinery, Manufacturing, Conglomerate, Forbes Global 2000, Fortune India 500, Public, Mumbai,Maharashtra","About, Reviews 40.5k, Salaries 37.7k, Interviews 328, Jobs 53","A federation of companies, bound by one purpose – to Rise. Inspired by this spirit, our legacy, and values, our goal to always positively impact our partners, stakeholders, communities, and the world at large, remains unshakeable.What began as a steel-trading venture seven decades ago, steadily turned into a global brand, spanning nations and industries. This is a story with an upward curve, narrating how an Indian company paved its way to become a global powerhouse. We have come a long way since 1945 and as we accelerate into the 21st century, we aim at achieving even more."
IndusInd Bank,3.8,7kReviews),"Public, Gurgaon/Gurugram,Haryana + 560 more, 28 years old, 10k-50k Employees (India)","Financial Services, Banking, Forbes Global 2000, Fortune India 500, Public, Gurgaon/Gurugram,Haryana","About, Reviews 7k, Salaries 51.5k, Interviews 286, Jobs 216","IndusInd Bank is a Mumbai based scheduled private bank founded in Mumbai in April 1994. This bank offers a wide range of banking as well as financial products and services to the customers and is headquartered in Mumbai, Maharashtra. The bank has over 745 branches with a total network of over 1635 operating ATMs. It has two representative offices outside India in London and Dubai respectively.IndusInd Bank stands tall today as one of the reputed banking brands in the country. The bank has been continuously investing in various advertising & marketing programs to enhance the brand image & recall. In an endeavor to emerge as best-in-class brand, IndusInd Bank has made 'Responsive Innovation' as a central theme of its brand building program. The Bank has combined responsiveness with innovation to launch a wide range of banking products and services which are unique, convenient and very relevant to Indian consumer."
